"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6502","Plus user does not see Switch plan option","plus","2026-04-11","passed","2026-04-11","Subscription Settings (Plus Plan)","src/tests/plus-plan/subscription.feature.spec.js","",""
"","4528","User can navigate to document upload page","plus","2026-04-11","passed","2026-04-11","Document Upload (Shared)","src/tests/shared/document-upload.feature.spec.js","",""
"","6350","Plus user sees Upgrade to Pro option","plus","2026-04-11","passed","2026-04-11","Subscription Settings (Plus Plan)","src/tests/plus-plan/subscription.feature.spec.js","",""
"","6828","Pro user can access Add-ons page","pro","2026-04-11","passed","2026-04-11","Add-ons (Pro Plan Only)","src/tests/pro-plan/add-ons.feature.spec.js","",""
"","10161","Example #3","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan) > Verify that the Knowledge field is a mandatory field","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","6372","Pro user sees Switch plan option","pro","2026-04-11","passed","2026-04-11","Subscription Settings (Pro Plan)","src/tests/pro-plan/subscription.feature.spec.js","",""
"","8636","Verify envelope form has Language and Tone options","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan)","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","27545","Verify that the envelope can be created successfully","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan)","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","33374","Verify that the name is a mandatory field","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan)","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","4273","User can navigate to document upload page","pro","2026-04-11","passed","2026-04-11","Document Upload (Shared)","src/tests/shared/document-upload.feature.spec.js","",""
"","2451","User can see WYASK branding on the home page","pro","2026-04-11","passed","2026-04-11","Branding Verification (Shared)","src/tests/plus-plan/branding.feature.spec.js","",""
"","21106","Plus user can access the envelopes page","plus","2026-04-11","passed","2026-04-11","Envelope Creation (Plus Plan - Shared Flow)","src/tests/plus-plan/envelope-creation.feature.spec.js","",""
"","10249","Example #2","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan) > Verify that the Knowledge field is a mandatory field","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","6709","Pro user can access Knowledge Vault","pro","2026-04-11","passed","2026-04-11","Knowledge Vault (Pro Plan Only)","src/tests/pro-plan/knowledge-vault.feature.spec.js","",""
"","31506","Plus user cannot access Knowledge Vault","plus","2026-04-11","passed","2026-04-11","Knowledge Vault (Plus Plan - Restricted)","src/tests/plus-plan/knowledge-vault.feature.spec.js","",""
"","9893","Example #1","pro","2026-04-11","passed","2026-04-11","Envelope Creation (Pro Plan) > Verify that the Knowledge field is a mandatory field","src/tests/pro-plan/envelope-creation.feature.spec.js","",""
"","2732","User can see WYASK branding on the home page","plus","2026-04-11","passed","2026-04-11","Branding Verification (Shared)","src/tests/plus-plan/branding.feature.spec.js","",""
